campaign,amount,method,code
Donasi untuk Korban Bencana,50000,E-Money Shopeepay,0031
Donasi untuk Anak Yatim Piatu,100000,Transfer Bank BCA,771
Donasi untuk Lansia,75000,Transfer Bank Mandiri, 551

Donasi untuk Panti Asuhan,15000,ShopeePay,0031
Donasi untuk Panti Asuhan,25000,Mandiri,551
Donasi untuk Panti Asuhan,25000,Mandiri,551
Donasi untuk Panti Asuhan,15000,BNI,661
Donasi untuk Panti Asuhan,,Panin,441
Donasi untuk Panti Asuhan,15000,BNI,661
Donasi untuk Panti Asuhan,55000,Mandiri,551
Donasi untuk Korban Bencana,100000,OVO,0033123
